id,total_utterance_length
nikluge-2024-대화 맥락 추론-train-000560,284
nikluge-2024-대화 맥락 추론-train-000561,284
nikluge-2024-대화 맥락 추론-train-000562,284
nikluge-2024-대화 맥락 추론-train-000563,284
nikluge-2024-대화 맥락 추론-train-000564,453
nikluge-2024-대화 맥락 추론-train-000565,453
nikluge-2024-대화 맥락 추론-train-000566,453
nikluge-2024-대화 맥락 추론-train-000567,453
nikluge-2024-대화 맥락 추론-train-000568,453
nikluge-2024-대화 맥락 추론-train-000569,399
nikluge-2024-대화 맥락 추론-train-000570,399
nikluge-2024-대화 맥락 추론-train-000571,399
nikluge-2024-대화 맥락 추론-train-000572,399
nikluge-2024-대화 맥락 추론-train-000573,399
nikluge-2024-대화 맥락 추론-train-000574,471
nikluge-2024-대화 맥락 추론-train-000575,471
nikluge-2024-대화 맥락 추론-train-000576,471
nikluge-2024-대화 맥락 추론-train-000577,471
nikluge-2024-대화 맥락 추론-train-000578,471
nikluge-2024-대화 맥락 추론-train-000579,381
nikluge-2024-대화 맥락 추론-train-000580,381
nikluge-2024-대화 맥락 추론-train-000581,381
nikluge-2024-대화 맥락 추론-train-000582,381
nikluge-2024-대화 맥락 추론-train-000583,381
nikluge-2024-대화 맥락 추론-train-000584,349
nikluge-2024-대화 맥락 추론-train-000585,349
nikluge-2024-대화 맥락 추론-train-000586,349
nikluge-2024-대화 맥락 추론-train-000587,349
nikluge-2024-대화 맥락 추론-train-000588,349
nikluge-2024-대화 맥락 추론-train-000589,212
nikluge-2024-대화 맥락 추론-train-000590,212
nikluge-2024-대화 맥락 추론-train-000591,212
nikluge-2024-대화 맥락 추론-train-000592,212
nikluge-2024-대화 맥락 추론-train-000593,212
nikluge-2024-대화 맥락 추론-train-000594,357
nikluge-2024-대화 맥락 추론-train-000595,357
nikluge-2024-대화 맥락 추론-train-000596,357
nikluge-2024-대화 맥락 추론-train-000597,357
nikluge-2024-대화 맥락 추론-train-000598,357
nikluge-2024-대화 맥락 추론-train-000599,235
nikluge-2024-대화 맥락 추론-train-000600,235
nikluge-2024-대화 맥락 추론-train-000601,235
nikluge-2024-대화 맥락 추론-train-000602,235
nikluge-2024-대화 맥락 추론-train-000603,235
nikluge-2024-대화 맥락 추론-train-000604,414
nikluge-2024-대화 맥락 추론-train-000605,414
nikluge-2024-대화 맥락 추론-train-000606,414
nikluge-2024-대화 맥락 추론-train-000607,414
nikluge-2024-대화 맥락 추론-train-000608,414
nikluge-2024-대화 맥락 추론-train-000609,159
nikluge-2024-대화 맥락 추론-train-000610,159
nikluge-2024-대화 맥락 추론-train-000611,159
nikluge-2024-대화 맥락 추론-train-000612,159
nikluge-2024-대화 맥락 추론-train-000613,159
nikluge-2024-대화 맥락 추론-train-000614,492
nikluge-2024-대화 맥락 추론-train-000615,492
nikluge-2024-대화 맥락 추론-train-000616,492
nikluge-2024-대화 맥락 추론-train-000617,492
nikluge-2024-대화 맥락 추론-train-000618,492
nikluge-2024-대화 맥락 추론-train-000619,404
nikluge-2024-대화 맥락 추론-train-000620,404
nikluge-2024-대화 맥락 추론-train-000621,404
nikluge-2024-대화 맥락 추론-train-000622,404
nikluge-2024-대화 맥락 추론-train-000623,404
nikluge-2024-대화 맥락 추론-train-000624,595
nikluge-2024-대화 맥락 추론-train-000625,595
nikluge-2024-대화 맥락 추론-train-000626,595
nikluge-2024-대화 맥락 추론-train-000627,595
nikluge-2024-대화 맥락 추론-train-000628,595
nikluge-2024-대화 맥락 추론-train-000629,193
nikluge-2024-대화 맥락 추론-train-000630,193
nikluge-2024-대화 맥락 추론-train-000631,193
nikluge-2024-대화 맥락 추론-train-000632,193
nikluge-2024-대화 맥락 추론-train-000633,193
nikluge-2024-대화 맥락 추론-train-000634,312
nikluge-2024-대화 맥락 추론-train-000635,312
nikluge-2024-대화 맥락 추론-train-000636,312
nikluge-2024-대화 맥락 추론-train-000637,312
nikluge-2024-대화 맥락 추론-train-000638,312
nikluge-2024-대화 맥락 추론-train-000639,1016
nikluge-2024-대화 맥락 추론-train-000640,1016
nikluge-2024-대화 맥락 추론-train-000641,1016
nikluge-2024-대화 맥락 추론-train-000642,1016
nikluge-2024-대화 맥락 추론-train-000643,1016
nikluge-2024-대화 맥락 추론-train-000644,95
nikluge-2024-대화 맥락 추론-train-000645,95
nikluge-2024-대화 맥락 추론-train-000646,95
nikluge-2024-대화 맥락 추론-train-000647,95
nikluge-2024-대화 맥락 추론-train-000648,95
nikluge-2024-대화 맥락 추론-train-000649,369
nikluge-2024-대화 맥락 추론-train-000650,369
nikluge-2024-대화 맥락 추론-train-000651,369
nikluge-2024-대화 맥락 추론-train-000652,369
nikluge-2024-대화 맥락 추론-train-000653,369
nikluge-2024-대화 맥락 추론-train-000654,342
nikluge-2024-대화 맥락 추론-train-000655,342
nikluge-2024-대화 맥락 추론-train-000656,342
nikluge-2024-대화 맥락 추론-train-000657,342
nikluge-2024-대화 맥락 추론-train-000658,342
nikluge-2024-대화 맥락 추론-train-000659,189
nikluge-2024-대화 맥락 추론-train-000660,189
nikluge-2024-대화 맥락 추론-train-000661,189
nikluge-2024-대화 맥락 추론-train-000662,189
nikluge-2024-대화 맥락 추론-train-000663,369
nikluge-2024-대화 맥락 추론-train-000664,369
nikluge-2024-대화 맥락 추론-train-000665,369
nikluge-2024-대화 맥락 추론-train-000666,369
nikluge-2024-대화 맥락 추론-train-000667,369
nikluge-2024-대화 맥락 추론-train-000668,399
nikluge-2024-대화 맥락 추론-train-000669,399
nikluge-2024-대화 맥락 추론-train-000670,399
nikluge-2024-대화 맥락 추론-train-000671,399
nikluge-2024-대화 맥락 추론-train-000672,399
nikluge-2024-대화 맥락 추론-train-000673,226
nikluge-2024-대화 맥락 추론-train-000674,226
nikluge-2024-대화 맥락 추론-train-000675,226
nikluge-2024-대화 맥락 추론-train-000676,226
nikluge-2024-대화 맥락 추론-train-000677,226
nikluge-2024-대화 맥락 추론-train-000678,927
nikluge-2024-대화 맥락 추론-train-000679,927
nikluge-2024-대화 맥락 추론-train-000680,927
nikluge-2024-대화 맥락 추론-train-000681,927
nikluge-2024-대화 맥락 추론-train-000682,927
nikluge-2024-대화 맥락 추론-train-000683,843
nikluge-2024-대화 맥락 추론-train-000684,843
nikluge-2024-대화 맥락 추론-train-000685,843
nikluge-2024-대화 맥락 추론-train-000686,843
nikluge-2024-대화 맥락 추론-train-000687,843
nikluge-2024-대화 맥락 추론-train-000688,370
nikluge-2024-대화 맥락 추론-train-000689,370
nikluge-2024-대화 맥락 추론-train-000690,370
nikluge-2024-대화 맥락 추론-train-000691,370
nikluge-2024-대화 맥락 추론-train-000692,498
nikluge-2024-대화 맥락 추론-train-000693,498
nikluge-2024-대화 맥락 추론-train-000694,498
nikluge-2024-대화 맥락 추론-train-000695,498
nikluge-2024-대화 맥락 추론-train-000696,498
nikluge-2024-대화 맥락 추론-train-000697,668
nikluge-2024-대화 맥락 추론-train-000698,668
nikluge-2024-대화 맥락 추론-train-000699,668
nikluge-2024-대화 맥락 추론-train-000700,668
nikluge-2024-대화 맥락 추론-train-000701,668
nikluge-2024-대화 맥락 추론-train-000702,414
nikluge-2024-대화 맥락 추론-train-000703,414
nikluge-2024-대화 맥락 추론-train-000704,414
nikluge-2024-대화 맥락 추론-train-000705,414
nikluge-2024-대화 맥락 추론-train-000706,414
nikluge-2024-대화 맥락 추론-train-000707,690
nikluge-2024-대화 맥락 추론-train-000708,690
nikluge-2024-대화 맥락 추론-train-000709,690
nikluge-2024-대화 맥락 추론-train-000710,690
nikluge-2024-대화 맥락 추론-train-000711,690
nikluge-2024-대화 맥락 추론-train-000712,588
nikluge-2024-대화 맥락 추론-train-000713,588
nikluge-2024-대화 맥락 추론-train-000714,588
nikluge-2024-대화 맥락 추론-train-000715,588
nikluge-2024-대화 맥락 추론-train-000716,588
nikluge-2024-대화 맥락 추론-train-000717,426
nikluge-2024-대화 맥락 추론-train-000718,426
nikluge-2024-대화 맥락 추론-train-000719,426
nikluge-2024-대화 맥락 추론-train-000720,426
nikluge-2024-대화 맥락 추론-train-000721,262
nikluge-2024-대화 맥락 추론-train-000722,262
nikluge-2024-대화 맥락 추론-train-000723,262
nikluge-2024-대화 맥락 추론-train-000724,262
nikluge-2024-대화 맥락 추론-train-000725,262
nikluge-2024-대화 맥락 추론-train-000726,476
nikluge-2024-대화 맥락 추론-train-000727,476
nikluge-2024-대화 맥락 추론-train-000728,476
nikluge-2024-대화 맥락 추론-train-000729,476
nikluge-2024-대화 맥락 추론-train-000730,476
nikluge-2024-대화 맥락 추론-train-000731,496
nikluge-2024-대화 맥락 추론-train-000732,496
nikluge-2024-대화 맥락 추론-train-000733,496
nikluge-2024-대화 맥락 추론-train-000734,496
nikluge-2024-대화 맥락 추론-train-000735,496
nikluge-2024-대화 맥락 추론-train-000736,505
nikluge-2024-대화 맥락 추론-train-000737,505
nikluge-2024-대화 맥락 추론-train-000738,505
nikluge-2024-대화 맥락 추론-train-000739,505
nikluge-2024-대화 맥락 추론-train-000740,505
nikluge-2024-대화 맥락 추론-train-000741,367
nikluge-2024-대화 맥락 추론-train-000742,367
nikluge-2024-대화 맥락 추론-train-000743,367
nikluge-2024-대화 맥락 추론-train-000744,367
nikluge-2024-대화 맥락 추론-train-000745,367
nikluge-2024-대화 맥락 추론-train-000746,450
nikluge-2024-대화 맥락 추론-train-000747,450
nikluge-2024-대화 맥락 추론-train-000748,450
nikluge-2024-대화 맥락 추론-train-000749,450
nikluge-2024-대화 맥락 추론-train-000750,450
nikluge-2024-대화 맥락 추론-train-000751,171
nikluge-2024-대화 맥락 추론-train-000752,171
nikluge-2024-대화 맥락 추론-train-000753,171
nikluge-2024-대화 맥락 추론-train-000754,171
nikluge-2024-대화 맥락 추론-train-000755,163
nikluge-2024-대화 맥락 추론-train-000756,163
nikluge-2024-대화 맥락 추론-train-000757,163
nikluge-2024-대화 맥락 추론-train-000758,163
nikluge-2024-대화 맥락 추론-dev-000001,725
nikluge-2024-대화 맥락 추론-dev-000002,319
nikluge-2024-대화 맥락 추론-dev-000003,556
nikluge-2024-대화 맥락 추론-dev-000004,559
nikluge-2024-대화 맥락 추론-dev-000005,254
nikluge-2024-대화 맥락 추론-dev-000006,367
nikluge-2024-대화 맥락 추론-dev-000007,803
nikluge-2024-대화 맥락 추론-dev-000008,749
nikluge-2024-대화 맥락 추론-dev-000009,371
nikluge-2024-대화 맥락 추론-dev-000010,496
nikluge-2024-대화 맥락 추론-dev-000011,592
nikluge-2024-대화 맥락 추론-dev-000012,265
nikluge-2024-대화 맥락 추론-dev-000013,266
nikluge-2024-대화 맥락 추론-dev-000014,175
nikluge-2024-대화 맥락 추론-dev-000015,189
nikluge-2024-대화 맥락 추론-dev-000016,211
nikluge-2024-대화 맥락 추론-dev-000017,445
nikluge-2024-대화 맥락 추론-dev-000018,240
nikluge-2024-대화 맥락 추론-dev-000019,149
nikluge-2024-대화 맥락 추론-dev-000020,204
nikluge-2024-대화 맥락 추론-dev-000021,629
nikluge-2024-대화 맥락 추론-dev-000022,316
nikluge-2024-대화 맥락 추론-dev-000023,242
nikluge-2024-대화 맥락 추론-dev-000024,473
nikluge-2024-대화 맥락 추론-dev-000025,198
nikluge-2024-대화 맥락 추론-dev-000026,351
nikluge-2024-대화 맥락 추론-dev-000027,476
nikluge-2024-대화 맥락 추론-dev-000028,476
nikluge-2024-대화 맥락 추론-dev-000029,476
nikluge-2024-대화 맥락 추론-dev-000030,476
nikluge-2024-대화 맥락 추론-dev-000031,476
nikluge-2024-대화 맥락 추론-dev-000032,1071
nikluge-2024-대화 맥락 추론-dev-000033,1071
nikluge-2024-대화 맥락 추론-dev-000034,1071
nikluge-2024-대화 맥락 추론-dev-000035,1071
nikluge-2024-대화 맥락 추론-dev-000036,1071
nikluge-2024-대화 맥락 추론-dev-000037,266
nikluge-2024-대화 맥락 추론-dev-000038,266
nikluge-2024-대화 맥락 추론-dev-000039,266
nikluge-2024-대화 맥락 추론-dev-000040,266
nikluge-2024-대화 맥락 추론-dev-000041,266
nikluge-2024-대화 맥락 추론-dev-000042,511
nikluge-2024-대화 맥락 추론-dev-000043,511
nikluge-2024-대화 맥락 추론-dev-000044,511
nikluge-2024-대화 맥락 추론-dev-000045,511
nikluge-2024-대화 맥락 추론-dev-000046,511
nikluge-2024-대화 맥락 추론-dev-000047,408
nikluge-2024-대화 맥락 추론-dev-000048,408
nikluge-2024-대화 맥락 추론-dev-000049,408
nikluge-2024-대화 맥락 추론-dev-000050,408
nikluge-2024-대화 맥락 추론-dev-000051,408
nikluge-2024-대화 맥락 추론-dev-000052,922
nikluge-2024-대화 맥락 추론-dev-000053,922
nikluge-2024-대화 맥락 추론-dev-000054,922
nikluge-2024-대화 맥락 추론-dev-000055,922
nikluge-2024-대화 맥락 추론-dev-000056,922
nikluge-2024-대화 맥락 추론-dev-000057,615
nikluge-2024-대화 맥락 추론-dev-000058,615
nikluge-2024-대화 맥락 추론-dev-000059,615
nikluge-2024-대화 맥락 추론-dev-000060,615
nikluge-2024-대화 맥락 추론-dev-000061,615
nikluge-2024-대화 맥락 추론-dev-000062,339
nikluge-2024-대화 맥락 추론-dev-000063,339
nikluge-2024-대화 맥락 추론-dev-000064,339
nikluge-2024-대화 맥락 추론-dev-000065,339
nikluge-2024-대화 맥락 추론-dev-000066,339
nikluge-2024-대화 맥락 추론-dev-000067,256
nikluge-2024-대화 맥락 추론-dev-000068,256
nikluge-2024-대화 맥락 추론-dev-000069,256
nikluge-2024-대화 맥락 추론-dev-000070,256
nikluge-2024-대화 맥락 추론-dev-000071,256
nikluge-2024-대화 맥락 추론-dev-000072,424
nikluge-2024-대화 맥락 추론-dev-000073,424
nikluge-2024-대화 맥락 추론-dev-000074,424
nikluge-2024-대화 맥락 추론-dev-000075,424
nikluge-2024-대화 맥락 추론-dev-000076,424
nikluge-2024-대화 맥락 추론-dev-000077,340
nikluge-2024-대화 맥락 추론-dev-000078,340
nikluge-2024-대화 맥락 추론-dev-000079,340
nikluge-2024-대화 맥락 추론-dev-000080,340
nikluge-2024-대화 맥락 추론-dev-000081,340
nikluge-2024-대화 맥락 추론-dev-000082,199
nikluge-2024-대화 맥락 추론-dev-000083,199
nikluge-2024-대화 맥락 추론-dev-000084,199
nikluge-2024-대화 맥락 추론-dev-000085,199
nikluge-2024-대화 맥락 추론-dev-000086,199
nikluge-2024-대화 맥락 추론-dev-000087,502
nikluge-2024-대화 맥락 추론-dev-000088,502
nikluge-2024-대화 맥락 추론-dev-000089,502
nikluge-2024-대화 맥락 추론-dev-000090,502
nikluge-2024-대화 맥락 추론-dev-000091,604
nikluge-2024-대화 맥락 추론-dev-000092,604
nikluge-2024-대화 맥락 추론-dev-000093,604
nikluge-2024-대화 맥락 추론-dev-000094,604
nikluge-2024-대화 맥락 추론-dev-000095,604
nikluge-2024-대화 맥락 추론-dev-000096,715
nikluge-2024-대화 맥락 추론-dev-000097,715
nikluge-2024-대화 맥락 추론-dev-000098,715
nikluge-2024-대화 맥락 추론-dev-000099,715
nikluge-2024-대화 맥락 추론-dev-000100,715
nikluge-2024-대화 맥락 추론-dev-000101,91
nikluge-2024-대화 맥락 추론-dev-000102,91
nikluge-2024-대화 맥락 추론-dev-000103,91
nikluge-2024-대화 맥락 추론-dev-000104,91
nikluge-2024-대화 맥락 추론-dev-000105,91
nikluge-2024-대화 맥락 추론-dev-000106,482
nikluge-2024-대화 맥락 추론-dev-000107,482
nikluge-2024-대화 맥락 추론-dev-000108,482
nikluge-2024-대화 맥락 추론-dev-000109,482
nikluge-2024-대화 맥락 추론-dev-000110,482
nikluge-2024-대화 맥락 추론-dev-000111,784
nikluge-2024-대화 맥락 추론-dev-000112,784
nikluge-2024-대화 맥락 추론-dev-000113,784
nikluge-2024-대화 맥락 추론-dev-000114,784
nikluge-2024-대화 맥락 추론-dev-000115,784
nikluge-2024-대화 맥락 추론-dev-000116,629
nikluge-2024-대화 맥락 추론-dev-000117,629
nikluge-2024-대화 맥락 추론-dev-000118,629
nikluge-2024-대화 맥락 추론-dev-000119,629
nikluge-2024-대화 맥락 추론-dev-000120,629
nikluge-2024-대화 맥락 추론-dev-000121,510
nikluge-2024-대화 맥락 추론-dev-000122,510
nikluge-2024-대화 맥락 추론-dev-000123,510
nikluge-2024-대화 맥락 추론-dev-000124,510
nikluge-2024-대화 맥락 추론-dev-000125,510
nikluge-2024-대화 맥락 추론-dev-000126,471
nikluge-2024-대화 맥락 추론-dev-000127,471
nikluge-2024-대화 맥락 추론-dev-000128,471
nikluge-2024-대화 맥락 추론-dev-000129,471
nikluge-2024-대화 맥락 추론-dev-000130,471
nikluge-2024-대화 맥락 추론-dev-000131,248
nikluge-2024-대화 맥락 추론-dev-000132,248
nikluge-2024-대화 맥락 추론-dev-000133,248
nikluge-2024-대화 맥락 추론-dev-000134,248
nikluge-2024-대화 맥락 추론-dev-000135,248
nikluge-2024-대화 맥락 추론-dev-000136,150
nikluge-2024-대화 맥락 추론-dev-000137,150
nikluge-2024-대화 맥락 추론-dev-000138,150
nikluge-2024-대화 맥락 추론-dev-000139,150
nikluge-2024-대화 맥락 추론-dev-000140,150
nikluge-2024-대화 맥락 추론-dev-000141,383
nikluge-2024-대화 맥락 추론-dev-000142,383
nikluge-2024-대화 맥락 추론-dev-000143,383
nikluge-2024-대화 맥락 추론-dev-000144,383
nikluge-2024-대화 맥락 추론-dev-000145,383
nikluge-2024-대화 맥락 추론-dev-000146,312
nikluge-2024-대화 맥락 추론-dev-000147,312
nikluge-2024-대화 맥락 추론-dev-000148,312
nikluge-2024-대화 맥락 추론-dev-000149,312
nikluge-2024-대화 맥락 추론-dev-000150,312
nikluge-2024-대화 맥락 추론-dev-000151,215
